w1,w2,w3,alpha,beta,pi0,regression_mae,full_model_mae,full_model_rmse,full_model_mape,volatility_mae,volatility_rmse,volatility_mape,sample_count,validation_count,price_rank,volatility_rank
0.1,0.8,0.1,1.176822895951181,3127.246526425998,630.8968995789965,98.50992063922307,98.73689346227543,117.68588005354873,0.013044475954681643,98.73689346227543,117.68588005354873,0.7487568514930566,158,241,49,49
0.18,0.78,0.04,1.1856590752619285,3084.6463613514534,661.4653938139372,99.01839455215368,98.76249270762099,118.36037394952245,0.013020558225903447,98.76249270762099,118.36037394952245,0.7479597833791534,158,241,50,50
0.0,0.92,0.08,1.1708269757887841,3136.6241430536666,615.8394898188094,98.10684823122362,98.77932157181955,117.52199763753384,0.013062423313519936,98.77932157181955,117.52199763753384,0.7502593026975874,158,241,51,51
0.12,0.78,0.1,1.1781622252342745,3124.0431295911417,634.6309756707669,98.6716959791282,98.79380445386877,117.87705119830602,0.013048630069743324,98.79380445386877,117.87705119830602,0.7489425299344001,158,241,52,52
0.04,0.86,0.1,1.1726201416502935,3138.1113415801815,619.1416131364308,98.24126737418783,98.80760085164934,117.48441410361448,0.013064906795759033,98.80760085164934,117.48441410361448,0.7500015119118342,158,241,53,53
0.2,0.78,0.02,1.1880544195832405,3072.286389212426,670.016616191931,99.18995838956141,98.81795440059001,118.68526880953794,0.01302077407225562,98.81795440059001,118.68526880953794,0.7480237402587608,158,241,54,54
0.16,0.76,0.08,1.1819957620233104,3107.692050895467,647.3577583314773,98.95692253960517,98.87287222787306,118.26829731733896,0.013047622626610723,98.87287222787306,118.26829731733896,0.7489124448689854,158,241,55,55
0.14,0.76,0.1,1.1794801721956414,3120.9616973988527,638.3314897041228,98.85281505431415,98.87986145714031,118.13084467314799,0.01305688909950492,98.87986145714031,118.13084467314799,0.7492943053388322,158,241,56,56
0.02,0.88,0.1,1.1711419524583426,3142.282257503331,614.957412563987,98.23256935684631,98.89315276469637,117.53705813836167,0.013080086722496446,98.89315276469637,117.53705813836167,0.7507842888619729,158,241,57,57
0.08,0.8,0.12,1.1742438493670766,3140.88824556273,621.7774289080967,98.47338935524434,98.8991840613671,117.74474390388694,0.013075453105532415,98.8991840613671,117.74474390388694,0.7500747064049298,158,241,58,58
